"location__name","location__url","location__locationId","totalReviews","avgReviews","minTicketPriceInfo","minTicketPriceInfo__price","minTicketPriceInfo__priceCurrency","ranking__value"
"Telefèric de Montjuïc","https://www.tripadvisor.com/Attraction_Review-g187497-d6495421-Reviews-Teleferic_de_Montjuic-Barcelona_Catalonia.html","6495421","2089","4.0","null","","","116"
"Basilica de Santa Maria del Pi","https://www.tripadvisor.com/Attraction_Review-g187497-d3139265-Reviews-Basilica_de_Santa_Maria_del_Pi-Barcelona_Catalonia.html","3139265","653","4.0","null","","","86"
"Sant Pau del Camp","https://www.tripadvisor.com/Attraction_Review-g187497-d3954329-Reviews-Sant_Pau_del_Camp-Barcelona_Catalonia.html","3954329","221","4.5","null","","","30"
"Barcelona Zoo","https://www.tripadvisor.com/Attraction_Review-g187497-d244821-Reviews-Barcelona_Zoo-Barcelona_Catalonia.html","244821","4009","3.5","null","","","181"
"Museu del Disseny de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d4722328-Reviews-Museu_del_Disseny_de_Barcelona-Barcelona_Catalonia.html","4722328","269","4.0","null","","","71"
"Rambla del Poblenou","https://www.tripadvisor.com/Attraction_Review-g187497-d7208916-Reviews-Rambla_del_Poblenou-Barcelona_Catalonia.html","7208916","222","4.5","null","","","57"
"Centro Comercial Arenas De Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d4027803-Reviews-Centro_Comercial_Arenas_De_Barcelona-Barcelona_Catalonia.html","4027803","1493","4.0","null","","","98"
"Anella Olimpica","https://www.tripadvisor.com/Attraction_Review-g187497-d265457-Reviews-Anella_Olimpica-Barcelona_Catalonia.html","265457","418","4.0","null","","","89"
"Poble Espanyol","https://www.tripadvisor.com/Attraction_Review-g187497-d244218-Reviews-Poble_Espanyol-Barcelona_Catalonia.html","244218","2830","3.5","","13.050000190734863","EUR","217"
"Gaudi Exhibition Center","https://www.tripadvisor.com/Attraction_Review-g187497-d8489665-Reviews-Gaudi_Exhibition_Center-Barcelona_Catalonia.html","8489665","332","4.5","null","","","46"
"Museu de Ciencies Naturals de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d2235343-Reviews-Museu_de_Ciencies_Naturals_de_Barcelona-Barcelona_Catalonia.html","2235343","287","4.0","","10.880000114440918","EUR","91"
"Nova Mar Bella Beach","https://www.tripadvisor.com/Attraction_Review-g187497-d3467712-Reviews-Nova_Mar_Bella_Beach-Barcelona_Catalonia.html","3467712","267","4.5","null","","","65"
"Passeig del Born","https://www.tripadvisor.com/Attraction_Review-g187497-d254719-Reviews-Passeig_del_Born-Barcelona_Catalonia.html","254719","279","4.0","null","","","67"
"El Corte Ingles","https://www.tripadvisor.com/Attraction_Review-g187497-d8036442-Reviews-El_Corte_Ingles-Barcelona_Catalonia.html","8036442","672","4.0","","18.649999618530273","EUR","106"
"Maremagnum","https://www.tripadvisor.com/Attraction_Review-g187497-d2690761-Reviews-Maremagnum-Barcelona_Catalonia.html","2690761","1350","4.0","null","","","128"
"Torre Agbar","https://www.tripadvisor.com/Attraction_Review-g187497-d2366700-Reviews-Torre_Agbar-Barcelona_Catalonia.html","2366700","1034","4.0","null","","","111"
"Galerias Malda","https://www.tripadvisor.com/Attraction_Review-g187497-d240766-Reviews-Galerias_Malda-Barcelona_Catalonia.html","240766","37","4.5","null","","","187"
"Gaudi House Museum","https://www.tripadvisor.com/Attraction_Review-g187497-d246190-Reviews-Gaudi_House_Museum-Barcelona_Catalonia.html","246190","1139","3.5","null","","","135"
"Museu de la Musica","https://www.tripadvisor.com/Attraction_Review-g187497-d2223604-Reviews-Museu_de_la_Musica-Barcelona_Catalonia.html","2223604","131","4.5","null","","","93"
"Estadi Olímpic","https://www.tripadvisor.com/Attraction_Review-g187497-d313685-Reviews-Estadi_Olimpic-Barcelona_Catalonia.html","313685","1159","4.0","null","","","114"
"Barcelona Pavilion","https://www.tripadvisor.com/Attraction_Review-g187497-d313686-Reviews-Barcelona_Pavilion-Barcelona_Catalonia.html","313686","656","4.5","null","","","52"
"Barri de La Ribera","https://www.tripadvisor.com/Attraction_Review-g187497-d243174-Reviews-Barri_de_La_Ribera-Barcelona_Catalonia.html","243174","104","4.5","null","","","113"
"MUHBA Temple d'August","https://www.tripadvisor.com/Attraction_Review-g187497-d1809020-Reviews-MUHBA_Temple_d_August-Barcelona_Catalonia.html","1809020","207","4.5","null","","","53"
"Museo Egipci de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d244208-Reviews-Museo_Egipci_de_Barcelona-Barcelona_Catalonia.html","244208","365","4.0","","12.420000076293945","EUR","115"
"Mossen Costa i Llobera Gardens","https://www.tripadvisor.com/Attraction_Review-g187497-d7021032-Reviews-Mossen_Costa_i_Llobera_Gardens-Barcelona_Catalonia.html","7021032","87","4.5","null","","","132"
"Avinguda Diagonal","https://www.tripadvisor.com/Attraction_Review-g187497-d7810574-Reviews-Avinguda_Diagonal-Barcelona_Catalonia.html","7810574","92","4.0","null","","","160"
"Museum of World Cultures","https://www.tripadvisor.com/Attraction_Review-g187497-d7820170-Reviews-Museum_of_World_Cultures-Barcelona_Catalonia.html","7820170","123","4.5","null","","","83"
"Placa del Rei","https://www.tripadvisor.com/Attraction_Review-g187497-d7694897-Reviews-Placa_del_Rei-Barcelona_Catalonia.html","7694897","283","4.5","null","","","76"
"Casa de les Punxes","https://www.tripadvisor.com/Attraction_Review-g187497-d2485623-Reviews-Casa_de_les_Punxes-Barcelona_Catalonia.html","2485623","493","4.0","","13.979999542236328","EUR","125"
"Museu de la Xocolata","https://www.tripadvisor.com/Attraction_Review-g187497-d619690-Reviews-Museu_de_la_Xocolata-Barcelona_Catalonia.html","619690","1049","3.5","","6.210000038146973","EUR","385"
"Portal de l'Àngel","https://www.tripadvisor.com/Attraction_Review-g187497-d7175296-Reviews-Portal_de_l_Angel-Barcelona_Catalonia.html","7175296","113","4.0","null","","","107"
"Retro Auto Moto Museo","https://www.tripadvisor.com/Attraction_Review-g187497-d12847550-Reviews-Retro_Auto_Moto_Museo-Barcelona_Catalonia.html","12847550","34","4.5","null","","","142"
"Plaza de Toros Monumental de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d6206152-Reviews-Plaza_de_Toros_Monumental_de_Barcelona-Barcelona_Catalonia.html","6206152","284","4.0","null","","","110"
"Placa de la Sagrada Familia","https://www.tripadvisor.com/Attraction_Review-g187497-d12606976-Reviews-Placa_de_la_Sagrada_Familia-Barcelona_Catalonia.html","12606976","155","4.0","null","","","85"
"MACBA Museu d'Art Contemporani de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d190623-Reviews-MACBA_Museu_d_Art_Contemporani_de_Barcelona-Barcelona_Catalonia.html","190623","956","3.5","","11.390000343322754","EUR","347"
"El Puerto de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d6401014-Reviews-El_Puerto_de_Barcelona-Barcelona_Catalonia.html","6401014","1891","4.5","null","","","66"
"Mercat de la Concepcio Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d2623636-Reviews-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html","2623636","103","4.5","null","","","96"
"Mercat dels Encants de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d190634-Reviews-Mercat_dels_Encants_de_Barcelona-Barcelona_Catalonia.html","190634","383","4.0","null","","","108"
"Museum of Illusions","https://www.tripadvisor.com/Attraction_Review-g187497-d7914040-Reviews-Museum_of_Illusions-Barcelona_Catalonia.html","7914040","406","3.5","","10.350000381469727","EUR","150"
"Plaza del Pi","https://www.tripadvisor.com/Attraction_Review-g187497-d6034377-Reviews-Plaza_del_Pi-Barcelona_Catalonia.html","6034377","126","4.0","null","","","100"
"Major Synagogue","https://www.tripadvisor.com/Attraction_Review-g187497-d597513-Reviews-Major_Synagogue-Barcelona_Catalonia.html","597513","212","4.5","","12.420000076293945","EUR","94"
"F1 - Spanish Grand Prix","https://www.tripadvisor.com/Attraction_Review-g187497-d8820217-Reviews-F1_Spanish_Grand_Prix-Barcelona_Catalonia.html","8820217","93","4.5","null","","","122"
"Teleferico del Puerto","https://www.tripadvisor.com/Attraction_Review-g187497-d2328556-Reviews-Teleferico_del_Puerto-Barcelona_Catalonia.html","2328556","1031","3.5","","13.979999542236328","EUR","297"
"Raval","https://www.tripadvisor.com/Attraction_Review-g187497-d3410795-Reviews-Raval-Barcelona_Catalonia.html","3410795","271","3.5","null","","","193"
"Estacio de Franca","https://www.tripadvisor.com/Attraction_Review-g187497-d7984164-Reviews-Estacio_de_Franca-Barcelona_Catalonia.html","7984164","150","4.0","null","","","92"
"Playa de la Mar Bella","https://www.tripadvisor.com/Attraction_Review-g187497-d10230999-Reviews-Playa_de_la_Mar_Bella-Barcelona_Catalonia.html","10230999","83","4.0","null","","","151"
"L'illa Diagonal","https://www.tripadvisor.com/Attraction_Review-g187497-d7363048-Reviews-L_illa_Diagonal-Barcelona_Catalonia.html","7363048","343","4.0","null","","","101"
